Date,Fiscal_Year,Month,Operation_ID,Site,Cost_Category,Cost_Subcategory,Description,Quantity,Unit,Unit_Cost,Total_Cost,Vendor,Production_Phase,Pig_Group_ID,Notes
4/13/2025,2025,4,OP-2025-001,Site A,Facilities,Utilities,Utilities expense,92.53,unit,35.2,3257.06,VetHealth Inc,Finishing,PG-5426,Dummy data for student testing
3/29/2025,2025,3,OP-2025-001,Site B,Labor,Payroll Burden,Payroll Burden expense,11.27,unit,43.66,492.05,VetHealth Inc,Gilt Development,PG-6051,Dummy data for student testing
10/4/2025,2025,10,OP-2025-001,Site A,Feed,Feed Delivery,Feed Delivery expense,306.21,unit,0.81,248.03,AgriFeed Co,Finishing,PG-3558,Dummy data for student testing
6/19/2025,2025,6,OP-2025-001,Site C,Facilities,Barn Supplies,Barn Supplies expense,183.81,unit,20.8,3823.25,Midwest Transport,Gilt Development,PG-8734,Dummy data for student testing
9/1/2025,2025,9,OP-2025-001,Site A,Feed,Finisher Feed,Finisher Feed expense,430.11,unit,30.77,13234.48,VetHealth Inc,Gilt Development,PG-9792,Dummy data for student testing
11/12/2025,2025,11,OP-2025-001,Site B,Transportation,Market Delivery,Market Delivery expense,193.32,unit,1.21,233.92,Farm Services LLC,Gilt Development,PG-6486,Dummy data for student testing
9/21/2025,2025,9,OP-2025-001,Site B,Overhead,Professional Services,Professional Services expense,454.75,unit,12.02,5466.1,VetHealth Inc,Gilt Development,PG-8989,Dummy data for student testing
7/10/2025,2025,7,OP-2025-001,Site B,Animal,Gilt Development,Gilt Development expense,225.43,unit,18.08,4075.77,Farm Services LLC,Breeding,PG-8869,Dummy data for student testing
10/23/2025,2025,10,OP-2025-001,Site B,Labor,Hourly Labor,Hourly Labor expense,136.4,unit,37.38,5098.63,AgriFeed Co,Gilt Development,PG-7331,Dummy data for student testing
2/10/2025,2025,2,OP-2025-001,Site A,Labor,Payroll Burden,Payroll Burden expense,83.47,unit,1.2,100.16,AgriFeed Co,Gilt Development,PG-3695,Dummy data for student testing
3/4/2025,2025,3,OP-2025-001,Site A,Health,Medications,Medications expense,353.72,unit,32.94,11651.54,Midwest Transport,Breeding,PG-4561,Dummy data for student testing
8/19/2025,2025,8,OP-2025-001,Site B,Animal,Weaned Pig Purchase,Weaned Pig Purchase expense,457.56,unit,38.33,17538.27,AgriFeed Co,Gilt Development,PG-3454,Dummy data for student testing
3/3/2025,2025,3,OP-2025-001,Site C,Labor,Payroll Burden,Payroll Burden expense,296.06,unit,12.73,3768.84,AgriFeed Co,Finishing,PG-9110,Dummy data for student testing
5/11/2025,2025,5,OP-2025-001,Site C,Feed,Sow Feed,Sow Feed expense,281.08,unit,34.81,9784.39,Midwest Transport,Breeding,PG-1206,Dummy data for student testing
1/15/2025,2025,1,OP-2025-001,Site C,Animal,Gilt Development,Gilt Development expense,220.23,unit,9.48,2087.78,AgriFeed Co,Gilt Development,PG-6116,Dummy data for student testing
4/6/2025,2025,4,OP-2025-001,Site C,Facilities,Repairs & Maintenance,Repairs & Maintenance expense,70.53,unit,27.4,1932.52,Midwest Transport,Breeding,PG-2059,Dummy data for student testing
1/13/2025,2025,1,OP-2025-001,Site B,Overhead,Professional Services,Professional Services expense,347.7,unit,39.68,13796.74,Utility Provider,Nursery,PG-3693,Dummy data for student testing
10/11/2025,2025,10,OP-2025-001,Site C,Facilities,Barn Supplies,Barn Supplies expense,94.1,unit,40.22,3784.7,VetHealth Inc,Finishing,PG-6592,Dummy data for student testing
8/19/2025,2025,8,OP-2025-001,Site A,Transportation,Pig Hauling,Pig Hauling expense,136.79,unit,29.32,4010.68,Farm Services LLC,Breeding,PG-6864,Dummy data for student testing
9/16/2025,2025,9,OP-2025-001,Site A,Overhead,Software & Technology,Software & Technology expense,255.86,unit,19.07,4879.25,AgriFeed Co,Finishing,PG-1663,Dummy data for student testing
11/11/2025,2025,11,OP-2025-001,Site A,Transportation,Market Delivery,Market Delivery expense,259.88,unit,31.78,8258.99,AgriFeed Co,Nursery,PG-2291,Dummy data for student testing
10/22/2025,2025,10,OP-2025-001,Site A,Animal,Genetics/Semen,Genetics/Semen expense,151.14,unit,13.18,1992.03,Midwest Transport,Breeding,PG-5737,Dummy data for student testing
8/8/2025,2025,8,OP-2025-001,Site C,Transportation,Pig Hauling,Pig Hauling expense,140.04,unit,40.92,5730.44,VetHealth Inc,Breeding,PG-2707,Dummy data for student testing
8/6/2025,2025,8,OP-2025-001,Site C,Transportation,Market Delivery,Market Delivery expense,296.76,unit,4.1,1216.72,AgriFeed Co,Finishing,PG-5389,Dummy data for student testing
10/7/2025,2025,10,OP-2025-001,Site A,Labor,Contract Labor,Contract Labor expense,317.13,unit,24.34,7718.94,AgriFeed Co,Gilt Development,PG-5282,Dummy data for student testing
11/22/2025,2025,11,OP-2025-001,Site C,Labor,Payroll Burden,Payroll Burden expense,295.86,unit,30.65,9068.11,VetHealth Inc,Finishing,PG-9338,Dummy data for student testing
5/28/2025,2025,5,OP-2025-001,Site B,Overhead,Insurance,Insurance expense,345.78,unit,17.71,6123.76,AgriFeed Co,Finishing,PG-9155,Dummy data for student testing
5/31/2025,2025,5,OP-2025-001,Site B,Overhead,Software & Technology,Software & Technology expense,348.2,unit,10.67,3715.29,AgriFeed Co,Gilt Development,PG-3049,Dummy data for student testing
10/31/2025,2025,10,OP-2025-001,Site C,Transportation,Market Delivery,Market Delivery expense,279.59,unit,39.78,11122.09,AgriFeed Co,Breeding,PG-4170,Dummy data for student testing
5/27/2025,2025,5,OP-2025-001,Site C,Health,Biosecurity Supplies,Biosecurity Supplies expense,443.66,unit,35.2,15616.83,AgriFeed Co,Gilt Development,PG-6539,Dummy data for student testing
4/14/2025,2025,4,OP-2025-001,Site C,Facilities,Repairs & Maintenance,Repairs & Maintenance expense,5.59,unit,5.02,28.06,AgriFeed Co,Breeding,PG-3961,Dummy data for student testing
12/4/2025,2025,12,OP-2025-001,Site A,Animal,Gilt Development,Gilt Development expense,224.76,unit,44.75,10058.01,Farm Services LLC,Breeding,PG-5493,Dummy data for student testing
10/4/2025,2025,10,OP-2025-001,Site A,Facilities,Barn Supplies,Barn Supplies expense,325.17,unit,38.29,12450.76,AgriFeed Co,Gilt Development,PG-5555,Dummy data for student testing
1/22/2025,2025,1,OP-2025-001,Site B,Transportation,Market Delivery,Market Delivery expense,486.53,unit,17.99,8752.67,Midwest Transport,Finishing,PG-1225,Dummy data for student testing
10/4/2025,2025,10,OP-2025-001,Site A,Transportation,Pig Hauling,Pig Hauling expense,288.88,unit,22.42,6476.69,Farm Services LLC,Breeding,PG-8683,Dummy data for student testing
2/4/2025,2025,2,OP-2025-001,Site A,Feed,Feed Delivery,Feed Delivery expense,89.38,unit,42.35,3785.24,Utility Provider,Nursery,PG-2060,Dummy data for student testing
10/7/2025,2025,10,OP-2025-001,Site A,Labor,Hourly Labor,Hourly Labor expense,276.83,unit,25.97,7189.28,Farm Services LLC,Finishing,PG-1980,Dummy data for student testing
6/10/2025,2025,6,OP-2025-001,Site B,Health,Biosecurity Supplies,Biosecurity Supplies expense,186.97,unit,18.06,3376.68,VetHealth Inc,Finishing,PG-2895,Dummy data for student testing
6/23/2025,2025,6,OP-2025-001,Site C,Animal,Mortality Disposal,Mortality Disposal expense,335.9,unit,16.46,5528.91,Midwest Transport,Nursery,PG-2409,Dummy data for student testing
9/30/2025,2025,9,OP-2025-001,Site A,Feed,Sow Feed,Sow Feed expense,351.54,unit,16.5,5800.41,VetHealth Inc,Finishing,PG-1537,Dummy data for student testing
12/21/2025,2025,12,OP-2025-001,Site C,Animal,Weaned Pig Purchase,Weaned Pig Purchase expense,306.15,unit,4.13,1264.4,AgriFeed Co,Gilt Development,PG-5780,Dummy data for student testing
1/20/2025,2025,1,OP-2025-001,Site C,Feed,Feed Delivery,Feed Delivery expense,351.28,unit,35.91,12614.46,Farm Services LLC,Nursery,PG-6919,Dummy data for student testing
8/3/2025,2025,8,OP-2025-001,Site B,Overhead,Software & Technology,Software & Technology expense,164.75,unit,7.4,1219.15,Utility Provider,Nursery,PG-7457,Dummy data for student testing
2/27/2025,2025,2,OP-2025-001,Site B,Transportation,Pig Hauling,Pig Hauling expense,19.64,unit,37.11,728.84,Midwest Transport,Gilt Development,PG-4124,Dummy data for student testing
3/1/2025,2025,3,OP-2025-001,Site A,Facilities,Barn Supplies,Barn Supplies expense,311.82,unit,4.3,1340.83,Farm Services LLC,Nursery,PG-5142,Dummy data for student testing
12/21/2025,2025,12,OP-2025-001,Site C,Overhead,Insurance,Insurance expense,484.8,unit,32.3,15659.04,AgriFeed Co,Gilt Development,PG-1830,Dummy data for student testing
10/2/2025,2025,10,OP-2025-001,Site A,Facilities,Repairs & Maintenance,Repairs & Maintenance expense,40.15,unit,1.63,65.44,AgriFeed Co,Gilt Development,PG-2664,Dummy data for student testing
2/27/2025,2025,2,OP-2025-001,Site B,Animal,Weaned Pig Purchase,Weaned Pig Purchase expense,221.73,unit,11.17,2476.72,AgriFeed Co,Gilt Development,PG-8404,Dummy data for student testing
9/29/2025,2025,9,OP-2025-001,Site A,Labor,Payroll Burden,Payroll Burden expense,328.9,unit,19.89,6541.82,Midwest Transport,Gilt Development,PG-5249,Dummy data for student testing
5/24/2025,2025,5,OP-2025-001,Site A,Health,Vet Services,Vet Services expense,60.96,unit,15.71,957.68,AgriFeed Co,Nursery,PG-7617,Dummy data for student testing
12/7/2025,2025,12,OP-2025-001,Site B,Overhead,Insurance,Insurance expense,232.87,unit,29.41,6848.71,VetHealth Inc,Nursery,PG-3849,Dummy data for student testing
6/29/2025,2025,6,OP-2025-001,Site A,Overhead,Software & Technology,Software & Technology expense,313.3,unit,22.89,7171.44,Utility Provider,Breeding,PG-5611,Dummy data for student testing
1/16/2025,2025,1,OP-2025-001,Site C,Overhead,Software & Technology,Software & Technology expense,14.23,unit,26.57,378.09,Farm Services LLC,Gilt Development,PG-7833,Dummy data for student testing
6/12/2025,2025,6,OP-2025-001,Site A,Facilities,Utilities,Utilities expense,229.67,unit,24.78,5691.22,Farm Services LLC,Finishing,PG-6536,Dummy data for student testing
6/17/2025,2025,6,OP-2025-001,Site C,Animal,Genetics/Semen,Genetics/Semen expense,98.7,unit,3.59,354.33,VetHealth Inc,Breeding,PG-9945,Dummy data for student testing
2/4/2025,2025,2,OP-2025-001,Site B,Overhead,Insurance,Insurance expense,328.21,unit,17.65,5792.91,VetHealth Inc,Nursery,PG-1417,Dummy data for student testing
4/25/2025,2025,4,OP-2025-001,Site A,Feed,Finisher Feed,Finisher Feed expense,59.96,unit,31.5,1888.74,Midwest Transport,Breeding,PG-8543,Dummy data for student testing
8/5/2025,2025,8,OP-2025-001,Site A,Labor,Hourly Labor,Hourly Labor expense,141.74,unit,8.4,1190.62,Midwest Transport,Breeding,PG-2122,Dummy data for student testing
2/5/2025,2025,2,OP-2025-001,Site B,Animal,Weaned Pig Purchase,Weaned Pig Purchase expense,388.43,unit,15.67,6086.7,Utility Provider,Gilt Development,PG-4440,Dummy data for student testing
7/2/2025,2025,7,OP-2025-001,Site A,Labor,Payroll Burden,Payroll Burden expense,377.52,unit,5.09,1921.58,AgriFeed Co,Nursery,PG-9787,Dummy data for student testing
8/5/2025,2025,8,OP-2025-001,Site A,Transportation,Pig Hauling,Pig Hauling expense,447.87,unit,17.82,7981.04,AgriFeed Co,Finishing,PG-5171,Dummy data for student testing
9/22/2025,2025,9,OP-2025-001,Site B,Overhead,Software & Technology,Software & Technology expense,338.71,unit,21.97,7441.46,Utility Provider,Breeding,PG-8266,Dummy data for student testing
1/25/2025,2025,1,OP-2025-001,Site A,Facilities,Manure Handling,Manure Handling expense,107.15,unit,42.61,4565.66,Utility Provider,Breeding,PG-6161,Dummy data for student testing
7/5/2025,2025,7,OP-2025-001,Site C,Overhead,Software & Technology,Software & Technology expense,275.21,unit,20.15,5545.48,Utility Provider,Finishing,PG-9010,Dummy data for student testing
5/26/2025,2025,5,OP-2025-001,Site A,Overhead,Insurance,Insurance expense,380.99,unit,28.01,10671.53,Utility Provider,Gilt Development,PG-7313,Dummy data for student testing
10/10/2025,2025,10,OP-2025-001,Site C,Animal,Gilt Development,Gilt Development expense,41.59,unit,4.28,178.01,Utility Provider,Breeding,PG-2365,Dummy data for student testing
5/25/2025,2025,5,OP-2025-001,Site B,Overhead,Professional Services,Professional Services expense,493.01,unit,34.03,16777.13,Farm Services LLC,Finishing,PG-2810,Dummy data for student testing
12/30/2025,2025,12,OP-2025-001,Site C,Transportation,Pig Hauling,Pig Hauling expense,212.69,unit,40.83,8684.13,Midwest Transport,Breeding,PG-5748,Dummy data for student testing
8/30/2025,2025,8,OP-2025-001,Site A,Facilities,Repairs & Maintenance,Repairs & Maintenance expense,29.1,unit,5.79,168.49,AgriFeed Co,Finishing,PG-4072,Dummy data for student testing
12/14/2025,2025,12,OP-2025-001,Site A,Transportation,Pig Hauling,Pig Hauling expense,188.06,unit,13.21,2484.27,Utility Provider,Nursery,PG-3105,Dummy data for student testing
2/13/2025,2025,2,OP-2025-001,Site B,Labor,Hourly Labor,Hourly Labor expense,22.54,unit,40.16,905.21,Utility Provider,Finishing,PG-6348,Dummy data for student testing
6/13/2025,2025,6,OP-2025-001,Site A,Health,Medications,Medications expense,484.68,unit,23.78,11525.69,AgriFeed Co,Nursery,PG-4486,Dummy data for student testing
1/1/2025,2025,1,OP-2025-001,Site A,Labor,Contract Labor,Contract Labor expense,292.57,unit,40.6,11878.34,Midwest Transport,Gilt Development,PG-2353,Dummy data for student testing
8/12/2025,2025,8,OP-2025-001,Site B,Transportation,Market Delivery,Market Delivery expense,54.27,unit,15.44,837.93,Farm Services LLC,Gilt Development,PG-4719,Dummy data for student testing
7/5/2025,2025,7,OP-2025-001,Site C,Facilities,Repairs & Maintenance,Repairs & Maintenance expense,133.7,unit,16.54,2211.4,AgriFeed Co,Breeding,PG-7132,Dummy data for student testing
7/31/2025,2025,7,OP-2025-001,Site B,Labor,Hourly Labor,Hourly Labor expense,67.46,unit,3.89,262.42,VetHealth Inc,Finishing,PG-1255,Dummy data for student testing
7/16/2025,2025,7,OP-2025-001,Site B,Overhead,Insurance,Insurance expense,209.7,unit,42.01,8809.5,Midwest Transport,Breeding,PG-6124,Dummy data for student testing
4/29/2025,2025,4,OP-2025-001,Site A,Feed,Nursery Feed,Nursery Feed expense,405.47,unit,44.43,18015.03,Midwest Transport,Breeding,PG-8449,Dummy data for student testing
3/4/2025,2025,3,OP-2025-001,Site A,Feed,Nursery Feed,Nursery Feed expense,414.75,unit,25.82,10708.84,VetHealth Inc,Breeding,PG-8266,Dummy data for student testing
11/7/2025,2025,11,OP-2025-001,Site B,Transportation,Market Delivery,Market Delivery expense,406.64,unit,44.99,18294.73,Midwest Transport,Breeding,PG-8190,Dummy data for student testing
2/22/2025,2025,2,OP-2025-001,Site B,Labor,Contract Labor,Contract Labor expense,424.97,unit,11.51,4891.4,AgriFeed Co,Nursery,PG-3048,Dummy data for student testing
2/20/2025,2025,2,OP-2025-001,Site B,Labor,Hourly Labor,Hourly Labor expense,104.41,unit,39.58,4132.55,Farm Services LLC,Finishing,PG-8239,Dummy data for student testing
2/8/2025,2025,2,OP-2025-001,Site C,Animal,Gilt Development,Gilt Development expense,260.63,unit,34.87,9088.17,VetHealth Inc,Gilt Development,PG-2077,Dummy data for student testing
8/24/2025,2025,8,OP-2025-001,Site C,Labor,Contract Labor,Contract Labor expense,438.45,unit,18.45,8089.4,Utility Provider,Breeding,PG-5673,Dummy data for student testing
3/16/2025,2025,3,OP-2025-001,Site B,Health,Medications,Medications expense,69.05,unit,1.15,79.41,VetHealth Inc,Nursery,PG-9017,Dummy data for student testing
10/13/2025,2025,10,OP-2025-001,Site A,Overhead,Professional Services,Professional Services expense,46.41,unit,32.82,1523.18,AgriFeed Co,Gilt Development,PG-6115,Dummy data for student testing
1/30/2025,2025,1,OP-2025-001,Site B,Overhead,Software & Technology,Software & Technology expense,431.32,unit,42.75,18438.93,AgriFeed Co,Nursery,PG-3832,Dummy data for student testing
12/6/2025,2025,12,OP-2025-001,Site B,Labor,Contract Labor,Contract Labor expense,310.78,unit,15.96,4960.05,Midwest Transport,Finishing,PG-2906,Dummy data for student testing
4/21/2025,2025,4,OP-2025-001,Site B,Feed,Finisher Feed,Finisher Feed expense,64.89,unit,7.26,471.1,Farm Services LLC,Gilt Development,PG-9472,Dummy data for student testing
7/14/2025,2025,7,OP-2025-001,Site B,Health,Medications,Medications expense,334.11,unit,8.17,2729.68,Midwest Transport,Finishing,PG-8956,Dummy data for student testing
1/5/2025,2025,1,OP-2025-001,Site B,Animal,Mortality Disposal,Mortality Disposal expense,174.46,unit,1.92,334.96,AgriFeed Co,Breeding,PG-7376,Dummy data for student testing
1/12/2025,2025,1,OP-2025-001,Site A,Animal,Gilt Development,Gilt Development expense,182.77,unit,22.9,4185.43,Midwest Transport,Breeding,PG-7937,Dummy data for student testing
9/6/2025,2025,9,OP-2025-001,Site C,Overhead,Insurance,Insurance expense,344.2,unit,23.27,8009.53,Utility Provider,Breeding,PG-2276,Dummy data for student testing
6/29/2025,2025,6,OP-2025-001,Site B,Overhead,Professional Services,Professional Services expense,185.87,unit,22.06,4100.29,Farm Services LLC,Finishing,PG-3125,Dummy data for student testing
8/4/2025,2025,8,OP-2025-001,Site C,Animal,Weaned Pig Purchase,Weaned Pig Purchase expense,32.11,unit,7.07,227.02,Midwest Transport,Finishing,PG-1918,Dummy data for student testing
8/26/2025,2025,8,OP-2025-001,Site B,Health,Medications,Medications expense,16.21,unit,39.09,633.65,Midwest Transport,Finishing,PG-4086,Dummy data for student testing
7/11/2025,2025,7,OP-2025-001,Site A,Feed,Finisher Feed,Finisher Feed expense,189.26,unit,1.39,263.07,AgriFeed Co,Finishing,PG-7229,Dummy data for student testing
5/6/2025,2025,5,OP-2025-001,Site B,Facilities,Utilities,Utilities expense,445.37,unit,26.91,11984.91,Midwest Transport,Breeding,PG-7371,Dummy data for student testing
4/21/2025,2025,4,OP-2025-001,Site C,Transportation,Market Delivery,Market Delivery expense,279.31,unit,26.6,7429.65,VetHealth Inc,Breeding,PG-3739,Dummy data for student testing
10/9/2025,2025,10,OP-2025-001,Site A,Animal,Genetics/Semen,Genetics/Semen expense,178.69,unit,44.4,7933.84,AgriFeed Co,Breeding,PG-2460,Dummy data for student testing
5/30/2025,2025,5,OP-2025-001,Site B,Labor,Contract Labor,Contract Labor expense,183.31,unit,22.21,4071.32,Midwest Transport,Nursery,PG-4735,Dummy data for student testing
11/7/2025,2025,11,OP-2025-001,Site A,Feed,Finisher Feed,Finisher Feed expense,26.77,unit,1.31,35.07,Farm Services LLC,Gilt Development,PG-6342,Dummy data for student testing
1/6/2025,2025,1,OP-2025-001,Site B,Animal,Mortality Disposal,Mortality Disposal expense,484.77,unit,39.02,18915.73,AgriFeed Co,Nursery,PG-3551,Dummy data for student testing
3/3/2025,2025,3,OP-2025-001,Site C,Feed,Nursery Feed,Nursery Feed expense,278.82,unit,25.94,7232.59,Utility Provider,Gilt Development,PG-7469,Dummy data for student testing
4/28/2025,2025,4,OP-2025-001,Site C,Facilities,Manure Handling,Manure Handling expense,100.55,unit,33.26,3344.29,AgriFeed Co,Nursery,PG-2828,Dummy data for student testing
5/19/2025,2025,5,OP-2025-001,Site B,Overhead,Insurance,Insurance expense,266.76,unit,2.81,749.6,VetHealth Inc,Breeding,PG-7038,Dummy data for student testing
5/18/2025,2025,5,OP-2025-001,Site A,Facilities,Repairs & Maintenance,Repairs & Maintenance expense,161.85,unit,36.54,5914,Utility Provider,Breeding,PG-3832,Dummy data for student testing
9/22/2025,2025,9,OP-2025-001,Site B,Health,Medications,Medications expense,236.32,unit,18.83,4449.91,AgriFeed Co,Breeding,PG-1235,Dummy data for student testing
11/30/2025,2025,11,OP-2025-001,Site C,Labor,Payroll Burden,Payroll Burden expense,469.23,unit,8.56,4016.61,AgriFeed Co,Gilt Development,PG-4391,Dummy data for student testing
3/1/2025,2025,3,OP-2025-001,Site B,Labor,Payroll Burden,Payroll Burden expense,397.84,unit,9.47,3767.54,Midwest Transport,Breeding,PG-3898,Dummy data for student testing
3/19/2025,2025,3,OP-2025-001,Site A,Animal,Gilt Development,Gilt Development expense,180.06,unit,39.54,7119.57,VetHealth Inc,Gilt Development,PG-7943,Dummy data for student testing
6/28/2025,2025,6,OP-2025-001,Site A,Labor,Contract Labor,Contract Labor expense,270.35,unit,20.02,5412.41,AgriFeed Co,Breeding,PG-2248,Dummy data for student testing
11/5/2025,2025,11,OP-2025-001,Site C,Health,Medications,Medications expense,59.33,unit,42.32,2510.85,Midwest Transport,Gilt Development,PG-6567,Dummy data for student testing
1/15/2025,2025,1,OP-2025-001,Site C,Overhead,Insurance,Insurance expense,248.22,unit,33.5,8315.37,Farm Services LLC,Breeding,PG-2120,Dummy data for student testing
10/16/2025,2025,10,OP-2025-001,Site C,Transportation,Market Delivery,Market Delivery expense,285.37,unit,34.43,9825.29,VetHealth Inc,Breeding,PG-7028,Dummy data for student testing
6/8/2025,2025,6,OP-2025-001,Site A,Overhead,Insurance,Insurance expense,64.62,unit,18.18,1174.79,Utility Provider,Breeding,PG-3371,Dummy data for student testing
11/28/2025,2025,11,OP-2025-001,Site B,Labor,Contract Labor,Contract Labor expense,7.09,unit,27.13,192.35,Midwest Transport,Finishing,PG-3116,Dummy data for student testing
5/28/2025,2025,5,OP-2025-001,Site C,Health,Vaccines,Vaccines expense,454.32,unit,26.46,12021.31,VetHealth Inc,Nursery,PG-9554,Dummy data for student testing
